Local time,Ask,Bid,AskVolume,BidVolume
11.04.2022 02:39:40.129 GMT+0530,1.09103,1.09061,0.67,0.23
11.04.2022 02:39:43.143 GMT+0530,1.09081,1.09061,0.44,0.23
11.04.2022 02:39:46.090 GMT+0530,1.09094,1.09061,0.44,0.23
11.04.2022 02:39:46.141 GMT+0530,1.09103,1.09061,0.67,0.23
11.04.2022 02:39:48.097 GMT+0530,1.09102,1.09061,0.44,0.23
11.04.2022 02:39:50.400 GMT+0530,1.09101,1.09061,0.44,0.23
11.04.2022 02:39:56.550 GMT+0530,1.09101,1.09059,0.67,0.23
11.04.2022 02:40:05.587 GMT+0530,1.09099,1.09059,0.44,0.23
11.04.2022 02:40:06.591 GMT+0530,1.09094,1.0906,0.44,0.23
11.04.2022 02:40:22.423 GMT+0530,1.09096,1.09059,0.44,0.23
11.04.2022 02:40:37.143 GMT+0530,1.09096,1.09056,0.44,0.23
11.04.2022 02:40:45.556 GMT+0530,1.09096,1.09063,0.44,0.23
11.04.2022 02:40:45.907 GMT+0530,1.09097,1.09063,0.44,0.23
11.04.2022 02:40:46.137 GMT+0530,1.09104,1.09081,0.44,0.23
11.04.2022 02:40:46.516 GMT+0530,1.09096,1.09063,0.44,0.23
11.04.2022 02:40:46.782 GMT+0530,1.09096,1.09061,0.44,0.23
11.04.2022 02:40:46.884 GMT+0530,1.09102,1.09082,0.23,0.23
11.04.2022 02:40:48.720 GMT+0530,1.09099,1.09064,0.44,0.23
11.04.2022 02:40:49.064 GMT+0530,1.09099,1.09075,0.44,0.44
11.04.2022 02:40:49.436 GMT+0530,1.09102,1.09082,0.23,0.23
11.04.2022 02:40:51.020 GMT+0530,1.09101,1.09081,0.23,0.23
11.04.2022 02:40:51.122 GMT+0530,1.09102,1.09061,0.44,0.23
11.04.2022 02:40:51.518 GMT+0530,1.09101,1.09081,1.13,0.23
11.04.2022 02:40:53.432 GMT+0530,1.09102,1.09061,0.44,0.23
11.04.2022 02:40:53.857 GMT+0530,1.091,1.09081,0.23,0.23
11.04.2022 02:40:55.001 GMT+0530,1.09103,1.09061,0.44,0.23
11.04.2022 02:40:55.287 GMT+0530,1.09103,1.09062,0.44,0.23
11.04.2022 02:40:55.338 GMT+0530,1.091,1.09081,0.23,0.23
11.04.2022 02:40:58.181 GMT+0530,1.09096,1.09061,0.44,0.23
11.04.2022 02:40:58.630 GMT+0530,1.09096,1.09059,0.44,1.34
11.04.2022 02:41:01.242 GMT+0530,1.09095,1.09057,0.44,0.23
11.04.2022 02:41:01.316 GMT+0530,1.09095,1.0905,0.44,0.23
11.04.2022 02:41:01.367 GMT+0530,1.09095,1.09045,0.44,1.13
11.04.2022 02:41:01.703 GMT+0530,1.09098,1.09045,0.44,1.13
11.04.2022 02:41:01.943 GMT+0530,1.09103,1.09067,0.67,0.23
11.04.2022 02:41:03.471 GMT+0530,1.09098,1.09045,0.44,0.23
11.04.2022 02:41:03.903 GMT+0530,1.09098,1.09057,0.44,0.23
11.04.2022 02:41:04.004 GMT+0530,1.09098,1.09045,0.44,0.23
11.04.2022 02:41:05.275 GMT+0530,1.09083,1.09047,0.23,0.23
11.04.2022 02:41:09.135 GMT+0530,1.09083,1.09043,0.44,0.23
11.04.2022 02:41:15.137 GMT+0530,1.09084,1.09043,0.44,0.23
11.04.2022 02:41:16.163 GMT+0530,1.09092,1.09043,0.44,0.23
11.04.2022 02:41:17.960 GMT+0530,1.09083,1.09047,0.23,0.23
11.04.2022 02:41:22.200 GMT+0530,1.09084,1.09046,0.23,0.23
11.04.2022 02:41:22.251 GMT+0530,1.09092,1.09044,0.44,0.23
11.04.2022 02:41:22.704 GMT+0530,1.09092,1.09043,0.44,1.13
11.04.2022 02:41:22.806 GMT+0530,1.09092,1.09044,0.44,0.23
11.04.2022 02:41:31.911 GMT+0530,1.09092,1.0905,0.44,0.23
11.04.2022 02:41:35.811 GMT+0530,1.09092,1.09051,0.44,0.23
11.04.2022 02:42:40.962 GMT+0530,1.09098,1.09055,0.44,1.13
11.04.2022 02:42:41.169 GMT+0530,1.09092,1.09054,0.44,0.9
11.04.2022 02:42:41.220 GMT+0530,1.09092,1.09051,0.44,0.9
11.04.2022 02:42:41.531 GMT+0530,1.09095,1.09051,0.44,0.9
11.04.2022 02:42:41.582 GMT+0530,1.09095,1.09055,0.44,0.9
11.04.2022 02:42:46.185 GMT+0530,1.09095,1.09054,0.44,0.9
11.04.2022 02:42:46.728 GMT+0530,1.09095,1.09055,0.44,0.9
11.04.2022 02:42:55.058 GMT+0530,1.09094,1.09055,0.44,0.9
11.04.2022 02:43:12.576 GMT+0530,1.09094,1.09054,0.44,0.9
11.04.2022 02:44:00.575 GMT+0530,1.09096,1.09064,0.44,0.9
11.04.2022 02:44:00.627 GMT+0530,1.09111,1.09069,0.44,0.9
11.04.2022 02:44:00.728 GMT+0530,1.09109,1.09064,1.13,0.9
11.04.2022 02:44:00.779 GMT+0530,1.09094,1.09054,0.44,0.9
11.04.2022 02:44:01.150 GMT+0530,1.09094,1.09055,0.44,0.23
11.04.2022 02:44:01.201 GMT+0530,1.0911,1.09069,0.44,0.9
11.04.2022 02:44:01.489 GMT+0530,1.09111,1.09069,0.44,0.9
11.04.2022 02:44:02.809 GMT+0530,1.09096,1.09069,0.44,0.9
11.04.2022 02:44:02.860 GMT+0530,1.09096,1.09064,0.44,0.9
11.04.2022 02:44:04.322 GMT+0530,1.09101,1.09071,0.9,0.44
11.04.2022 02:44:04.373 GMT+0530,1.09127,1.09071,0.44,0.44
11.04.2022 02:44:05.083 GMT+0530,1.09127,1.09077,0.44,0.9
11.04.2022 02:44:05.133 GMT+0530,1.09127,1.09071,0.44,0.44
11.04.2022 02:44:10.057 GMT+0530,1.09127,1.09076,0.44,0.44
11.04.2022 02:44:10.552 GMT+0530,1.09126,1.09076,0.44,0.44
11.04.2022 02:44:15.037 GMT+0530,1.09126,1.09075,0.44,0.44
11.04.2022 02:44:26.841 GMT+0530,1.09126,1.09073,0.44,0.44
11.04.2022 02:44:26.892 GMT+0530,1.09108,1.09074,0.44,0.44
11.04.2022 02:44:29.877 GMT+0530,1.09118,1.09074,0.44,0.44
11.04.2022 02:44:29.929 GMT+0530,1.09126,1.09074,0.44,0.44
